DateTime,AddedIPs,RemovedIPs
1590072279,1,0
1590092221,0,1
1590096081,0,1
1590103740,1,0
1590109951,1,0
1590148099,1,0
1590158195,0,1
1590190092,0,1
1590196357,0,1
1590231400,0,1
1590239014,1,0
1590260591,1,0
1590306980,1,0
1590326666,0,1
1590346332,0,1
1590364107,1,0
1590375879,1,0
1590394348,0,1
1590450977,0,1
1590458917,0,1
1590482902,1,0
1590549621,1,0
1590569554,0,1
1590610340,3,0
1590629799,3,0
1590635799,0,1
1590645390,1,0
1590660744,1,0
1590671001,1,0
1590696981,0,3
1590700942,2,0
1590706587,1,0
1590710616,1,0
1590716660,0,3
1590732751,0,1
1590746178,1,1
1590757936,0,1
1590787215,0,2
1590793021,0,1
1590797014,0,1
1590829932,0,1
1590845115,1,0
1590846974,1,0
1590880098,1,0
1590889694,1,0
1590932414,0,2
1591007063,3,0
1591024352,1,0
1591032026,0,2
1591053374,1,0
1591061061,3,0
1591082182,1,0
1591093691,0,3
1591109534,0,1
1591121299,1,0
1591140741,0,1
1591148415,0,3
1591167868,0,1
1591197404,1,0
1591206983,0,1
1591211081,1,0
1591218744,1,0
1591246110,1,0
1591285464,0,1
1591296989,0,1
1591306568,0,1
1591310412,1,0
1591312328,1,0
1591330826,1,0
1591332729,0,1
1591338489,1,0
1591397291,0,1
1591399097,0,1
1591416507,0,1
1591424171,0,1
1591478886,1,0
1591486587,1,0
1591580925,1,2
1591644968,1,0
1591668976,0,1
1591728257,0,1
1591807221,1,0
1591809130,1,0
1591822581,1,0
1591895074,0,2
1591906584,0,1
1591913558,1,0
1591998988,0,1
1592047691,1,0
1592112992,1,0
1592134091,0,1
1592186895,1,0
1592198411,0,1
1592200347,1,0
1592245470,1,0
1592272595,0,1
1592286275,0,1
1592316763,1,0
1592324425,1,0
1592332421,0,1
1592344091,1,0
1592355900,1,0
1592404599,0,1
1592410413,0,1
1592427798,1,0
1592429936,0,1
1592443460,0,1
1592445413,1,0
1592492209,2,0
1592507786,1,0
1592511613,1,0
1592513634,1,0
1592515484,0,1
1592519206,2,0
1592533076,0,1
1592560342,1,0
1592566101,2,0
1592568291,3,0
1592570184,2,0
1592574046,2,0
1592575934,1,0
1592577875,1,1
1592579773,2,1
1592585830,2,0
1592591770,1,0
1592595615,0,1
1592599477,0,2
1592607132,0,2
1592645314,0,1
1592652042,0,2
1592653932,0,2
1592655872,0,3
1592661951,0,3
1592665975,0,3
1592671707,0,2
1592675585,0,1
1592693563,1,0
1592770813,1,0
1592772737,1,0
1592780569,0,1
1592856516,0,1
1592858410,0,1
1592882680,1,0
1592968328,0,1
1593006269,1,0
1593035352,1,0
1593053778,1,0
1593083332,1,0
1593093155,0,1
1593098892,2,0
1593102046,1,0
1593119794,1,0
1593121727,0,1
1593129378,1,0
1593131295,9,0
1593141153,0,1
1593171157,0,1
1593184017,1,0
1593185939,0,2
1593187811,0,1
1593199575,1,0
1593201429,1,0
1593206186,5,1
1593215776,0,1
1593217697,0,9
1593239293,1,0
1593268838,0,1
1593286144,0,1
1593289038,0,1
1593292844,0,5
1593303649,1,0
1593311295,1,0
1593324751,0,1
1593353777,1,0
1593388988,0,1
1593391001,1,0
1593396756,1,0
1593398683,0,1
1593402518,1,0
1593426018,1,0
1593439691,0,1
1593445451,1,0
1593473795,1,0
1593475699,1,0
1593477622,0,1
1593481468,1,1
1593483378,1,0
1593489133,0,1
1593512414,0,1
1593531863,0,1
1593541454,1,0
1593555348,1,0
1593557297,2,0
1593559248,0,1
1593561133,0,1
1593569784,0,2
1593597131,1,0
1593616592,1,0
1593618534,2,0
1593622338,1,0
1593628093,0,1
1593642518,0,3
1593656195,1,0
1593674222,1,0
1593683782,0,1
1593703454,0,2
1593705394,0,1
1593707309,0,1
1593723853,1,0
1593743079,0,1
1593744992,1,0
1593761777,0,1
1593767451,1,0
1593810187,0,1
1593831391,0,1
1593850361,0,1
1593899771,1,0
1593904571,11,0
1593987628,0,1
1594010657,1,11
1594014501,1,0
1594066644,1,0
1594097314,0,1
1594101145,0,1
1594132095,1,0
1594153771,0,1
1594187534,1,0
1594218505,0,1
1594271816,0,1
1594325559,1,0
1594404979,1,0
1594412667,0,1
1594414644,1,0
1594477212,2,0
1594490902,0,1
1594496660,1,0
1594500555,0,1
1594560262,8,0
1594562200,0,1
1594564091,1,1
1594583536,0,1
1594585482,24,0
1594587407,2,0
1594610698,1,0
1594626552,1,0
1594628415,1,0
1594646188,0,7
1594648121,0,1
1594650018,1,1
1594672088,0,26
1594680768,1,0
1594684579,1,0
1594688678,1,0
1594696737,0,1
1594714602,0,2
1594731489,1,0
1594736195,0,1
1594747695,2,0
1594753700,1,0
1594767207,0,1
1594771263,0,1
1594775098,0,1
1594792361,1,0
1594802209,1,0
1594811777,1,0
1594819555,0,1
1594834857,0,2
1594840589,0,1
1594879485,0,1
1594889058,0,1
1594894837,0,1
1594897725,1,0
1594909669,1,0
1594985831,1,1
1594997321,0,1
1595083001,1,0
1595105298,1,0
1595142763,0,1
1595146571,1,0
1595168037,0,1
1595181821,1,0
1595191729,0,1
1595209457,1,0
1595233005,0,1
1595269720,1,1
1595295855,0,1
1595307383,2,0
1595356603,0,1
1595364260,1,0
1595395221,0,2
1595397143,1,0
1595449703,0,1
1595464119,1,0
1595483775,0,1
1595508973,1,0
1595549780,0,1
1595555789,1,0
1595594927,0,1
1595641454,0,1
1595786934,1,0
1595796498,1,0
1595855323,1,0
1595861085,1,0
1595875044,0,1
1595882652,1,1
1595942200,0,1
1595946514,0,1
1595958277,1,0
1595969778,0,1
1595987289,1,0
1595989250,1,0
1595995002,1,0
1596045168,0,1
1596060535,2,0
1596073938,0,1
1596075899,0,1
1596077778,1,0
1596081828,0,1
1596120747,1,0
1596133220,1,0
1596146895,0,2
1596154572,1,0
1596164176,0,1
1596193004,1,0
1596196849,3,0
1596198769,3,0
1596200638,2,0
1596202452,3,0
1596206196,0,1
1596217728,1,0
1596219641,0,1
1596241213,0,1
1596248936,1,0
1596278202,0,1
1596283964,0,5
1596285856,0,1
1596287778,0,2
1596289726,0,3
1596303176,0,1
1596316813,1,0
1596335332,0,1
1596376098,1,0
1596407293,1,0
1596421001,1,0
1596436588,0,1
1596461774,0,1
1596486972,1,0
1596492976,0,1
1596500668,1,0
1596506496,0,1
1596570021,1,0
1596572039,0,1
1596585411,1,0
1596587307,0,1
1596626484,1,0
1596628366,1,0
1596656423,0,1
1596662179,1,0
1596671801,0,1
1596698893,1,0
1596712772,0,1
1596714768,0,1
1596748336,1,1
1596785080,0,1
1596830201,1,0
1596834109,0,1
1596843862,1,0
1596893918,1,0
1596911299,1,0
1596917301,0,1
1596921186,1,0
1596930746,0,1
1596952122,1,0
1596981034,0,1
1596996251,1,0
1596998197,0,1
1597007773,0,1
1597036815,0,1
1597052428,1,0
1597056256,1,0
1597062024,1,0
1597083161,0,1
1597088900,1,0
1597138100,0,1
1597142170,0,1
1597147937,0,1
1597166959,2,0
1597174827,0,1
1597186330,1,0
1597192089,1,0
1597209376,1,0
1597218981,1,0
1597246118,1,0
1597277536,1,0
1597283289,0,4
1597296037,0,1
1597303688,0,1
1597309465,1,0
1597315211,1,0
1597332502,0,1
1597342122,1,0
1597361578,1,0
1597363459,0,1
1597367376,1,0
1597373092,1,0
1597376922,2,0
1597395371,0,1
1597403313,0,1
1597426608,1,0
1597428765,0,1
1597447933,0,1
1597453696,0,1
1597459454,0,1
1597463290,0,2
1597511297,0,1
1597562172,1,0
1597569876,1,0
1597650012,0,1
1597653876,0,1
1597664415,1,0
1597693449,1,0
1597697318,1,0
1597751293,0,1
1597757050,1,0
1597772443,1,0
1597780124,0,1
1597783948,1,1
1597801454,1,0
1597842517,0,1
1597857882,0,1
1597872176,0,1
1597885933,0,1
1597936574,1,0
1598021784,0,1
1598056815,1,0
1598104943,1,0
1598106761,1,0
1598114414,1,0
1598135861,1,0
1598143452,0,1
1598158909,1,0
1598176359,1,0
1598191970,1,2
1598199614,2,1
1598222926,0,1
1598246173,0,1
1598261530,1,0
1598263370,0,1
1598269213,1,0
1598278812,0,1
1598285011,0,2
1598287006,1,0
1598298503,1,0
1598306205,1,0
1598315138,1,0
1598344609,1,0
1598348413,0,1
1598356145,0,1
1598358014,3,0
1598361894,1,0
1598368099,1,0
1598371977,0,1
1598385767,0,1
1598393574,0,1
1598401227,0,1
1598403133,2,0
1598405109,2,0
1598430313,0,1
1598432195,1,0
1598440367,1,0
1598444177,0,3
1598446124,1,0
1598449932,0,1
1598455782,0,1
1598459775,1,0
1598481695,1,0
1598485482,1,0
1598489323,0,1
1598491240,1,2
1598493131,0,1
1598506399,1,0
1598514018,1,0
1598517915,0,1
1598525538,0,1
1598531803,1,0
1598533695,0,1
1598545470,0,1
1598547394,1,0
1598553169,1,0
1598555067,1,0
1598566603,1,0
1598568500,0,1
1598570443,1,0
1598572353,0,1
1598576206,1,0
1598578092,0,1
1598592763,0,1
1598600430,0,1
1598602334,1,0
1598606175,1,0
