DateTime,AddedIPs,RemovedIPs
1592769923,1,0
1592798727,1,0
1592802334,0,1
1592820336,2,0
1592823933,3,14
1592827527,1,0
1592831130,1,0
1592834732,2,0
1592838318,0,1
1592841919,0,4
1592845525,1,1
1592849121,1,0
1592852724,1,0
1592856325,1,0
1592859917,0,1
1592867128,1,0
1592877922,0,1
1592881528,2,0
1592895922,0,1
1592903150,1,0
1592906742,0,2
1592910326,8,14
1592913925,2,1
1592921138,1,2
1592931922,0,2
1592939122,0,1
1592942735,1,0
1592949920,1,1
1592953523,0,1
1592957120,1,0
1592964320,0,1
1592967920,1,0
1592971520,1,0
1592975132,1,0
1592982331,0,1
1592989538,2,0
1592993138,1,1
1592996723,6,7
1593007539,1,2
1593011119,1,0
1593018316,1,0
1593029118,0,1
1593032718,1,1
1593036327,0,1
1593039918,2,0
1593050720,1,0
1593061539,4,0
1593075938,1,0
1593083119,4,7
1593090328,0,2
1593093920,1,3
1593101123,0,2
1593104717,0,3
1593111917,0,1
1593115517,1,3
1593119121,0,2
1593126318,1,1
1593140721,2,2
1593147921,1,0
1593151520,0,1
1593155128,0,1
1593158738,0,4
1593165945,1,0
1593169528,2,11
1593173118,1,7
1593176734,2,0
1593180317,0,1
1593187529,1,0
1593194721,1,0
1593201913,7,4
1593209127,0,1
1593212714,1,0
1593219916,0,1
1593227113,4,1
1593241522,0,1
1593245124,0,1
1593248754,1,0
1593252336,0,2
1593255918,8,2
1593259517,5,0
1593266720,0,1
1593270329,1,0
1593284717,0,1
1593288324,1,1
1593291914,1,1
1593295516,0,1
1593302734,0,1
1593309918,1,0
1593313518,0,1
1593327929,1,1
1593331534,1,1
1593338747,0,1
1593342322,16,11
1593349517,0,3
1593353131,0,1
1593371119,0,1
1593374719,2,0
1593378324,0,2
1593381920,0,1
1593385531,3,0
1593389136,0,3
1593392717,0,1
1593396325,0,1
1593403520,0,5
1593407123,0,1
1593414323,0,2
1593421546,1,3
1593428718,10,12
1593435928,2,7
1593439520,2,7
1593443122,1,1
1593457517,1,0
1593461116,1,0
1593464718,0,1
1593468318,1,1
1593471918,1,0
1593475528,1,0
1593479117,1,0
1593482718,0,4
1593515123,16,9
1593518724,0,1
1593529517,0,1
1593547530,5,2
1593551121,0,1
1593554729,3,0
1593558323,1,1
1593561933,1,1
1593565527,1,0
1593569120,3,0
1593572719,1,0
1593576333,2,0
1593579937,1,0
1593583522,1,0
1593590753,1,0
1593594340,2,2
1593597930,11,2
1593601529,0,9
1593605128,3,0
1593612323,0,1
1593619523,0,1
1593633924,5,1
1593655524,1,0
1593669924,0,1
1593677124,1,1
1593684334,0,2
1593687922,14,5
1593691528,2,0
1593695122,3,0
1593702327,0,1
1593709529,2,1
1593716728,0,1
1593723923,0,1
1593731127,1,1
1593734728,2,0
1593741933,0,1
1593752730,1,0
1593756330,1,0
1593759928,0,1
1593763530,1,0
1593774335,5,0
1593777931,1,0
1593788745,0,1
1593795933,1,0
1593803145,0,1
1593810345,0,1
1593813932,0,1
1593821148,0,1
1593828341,0,1
1593842742,0,2
1593857156,1,0
1593860739,2,5
1593867941,1,0
1593871542,0,2
1593882345,2,1
1593885945,0,1
1593900337,1,0
1593918345,1,0
1593929150,2,0
1593932742,0,1
1593936351,1,0
1593939934,1,0
1593943537,1,0
1593947131,0,11
1593954336,0,1
1593957939,2,0
1593983132,1,0
1593986729,0,2
1593990335,1,0
1594001142,1,0
1594019139,0,1
1594026335,2,0
1594033525,0,332
1594047932,0,1
1594055120,2,0
1594058731,1,0
1594065930,2,0
1594069519,1,0
1594073134,0,3
1594091120,1,0
1594098326,5,1
1594105522,2,0
1594109115,2,0
1594112629,1,0
1594119800,1,13
1594127002,3,0
1594130604,1,1
1594152308,2,0
1594155940,14,0
1594159534,317,0
1594177523,0,1
1594199155,2,0
1594202733,2,11
1594209936,4,1
1594217131,2,0
1594220729,3,0
1594235145,0,2
1594249528,0,1
1594263927,1,0
1594267530,0,1
1594278329,0,1
1594285562,1,0
1594289150,4,0
1594292738,1,8
1594307147,1,1
1594314338,2,0
1594321537,1,1
1594325140,1,0
1594332342,0,2
1594335937,0,1
1594339537,2,0
1594379139,12,7
1594386347,0,1
1594389951,1,0
1594393541,0,1
1594397150,1,0
1594411547,0,2
1594418733,0,1
1594461946,0,2
1594465539,6,6
1594469131,2,0
1594483540,1,0
1594490740,0,1
1594494335,1,0
1594505134,0,1
1594512330,0,1
1594515931,0,1
1594519528,0,2
1594523132,0,3
1594526744,0,1
1594530336,0,1
1594537530,3,0
1594541152,1,0
1594551941,4,2
1594591535,1,1
1594605938,0,1
1594613139,1,0
1594620337,0,1
1594623940,0,1
1594638328,10,0
1594641930,1,0
1594645530,1,0
1594652735,1,0
1594656329,1,0
1594667148,0,1
1594670729,0,3
1594703137,0,1
1594724739,6,2
1594739135,1,0
1594742738,1,0
1594746335,1,0
1594749940,0,1
1594757130,0,1
1594760741,0,14
1594764328,0,15
1594767929,1,0
1594771530,2,0
1594775127,0,1
1594782334,1,0
1594785940,0,2
1594789536,1,0
1594793130,1,0
1594803961,0,1
1594811130,7,38
1594814729,0,4
1594821939,0,1
1594825531,0,3
1594836327,1,0
1594847125,1,0
1594893942,0,4
1594897523,11,3
1594901126,3,0
1594904724,1,0
1594911924,0,1
1594926330,0,1
1594937137,1,0
1594951524,1,0
1594969533,0,1
1594973146,1,0
1594976758,1,0
1594983937,14,15
1594991138,1,1
1594998326,1,0
1595041527,1,0
1595048727,1,0
1595070322,17,3
1595073924,0,1
1595120721,1,0
1595127918,2,0
1595142327,0,1
1595156726,8,5
1595171135,0,1
1595178323,1,0
1595210736,1,0
1595221536,0,1
1595232353,1,1
1595243126,4,11
1595246728,0,1
1595253927,1,0
