DateTime,AddedIPs,RemovedIPs
1586900896,1,0
1586902822,0,1
1586910491,0,1
1586915301,0,1
1586925611,0,1
1586931371,0,1
1586935255,1,0
1586942939,0,1
1586947697,0,1
1586987049,0,1
1586994729,1,0
1587021868,0,1
1587041293,1,0
1587077769,1,0
1587082592,0,1
1587119047,1,0
1587127694,0,1
1587163456,0,1
1587169215,1,0
1587173062,1,0
1587182661,1,0
1587205690,0,1
1587228747,1,0
1587234493,1,0
1587255622,0,1
1587259462,0,1
1587268103,0,1
1587315409,0,1
1587319229,0,1
1587373067,1,0
1587409696,1,0
1587430413,1,0
1587432252,1,0
1587436231,1,0
1587471869,1,0
1587478582,1,0
1587494189,0,1
1587496111,0,1
1587516491,0,1
1587518442,0,1
1587522254,0,1
1587558057,0,1
1587562092,0,1
1587579412,1,0
1587664343,0,1
1587748093,1,0
1587767575,1,0
1587835941,0,1
1587853464,0,1
1587856570,1,0
1587879850,1,0
1587891368,1,0
1587929055,1,0
1587934880,1,0
1587944423,0,1
1587952337,1,0
1587967275,0,1
1587978973,0,1
1587986654,1,0
1588015462,0,1
1588019292,1,0
1588022172,0,1
1588038514,0,1
1588073090,0,1
1588094426,1,0
1588105951,0,1
1588179150,0,1
1588185888,1,0
1588230076,1,0
1588267213,1,0
1588272971,0,1
1588287131,1,0
1588300814,1,0
1588316212,0,1
1588333700,1,0
1588353140,0,1
1588374504,0,1
1588418667,0,1
1588494263,0,1
1588499773,1,0
1588514463,1,0
1588543276,1,0
1588547324,1,0
1588553295,1,0
1588567980,1,0
1588583327,1,0
1588587136,0,1
1588594820,1,0
1588600577,0,1
1588625771,1,0
1588630583,0,1
1588632498,0,1
1588634414,1,0
1588640179,1,1
1588654098,0,1
1588668490,0,1
1588678094,1,0
1588681009,0,1
1588711699,0,1
1588719391,1,0
1588721287,0,1
1588726096,0,1
1588763769,1,1
1588804441,0,1
1588818013,1,0
1588823767,1,0
1588832412,1,0
1588848019,0,1
1588888568,1,0
1588904174,0,1
1588909934,0,1
1588919629,0,1
1588972573,0,1
1589032565,1,0
1589115134,1,0
1589118967,0,1
1589183053,1,0
1589200574,0,1
1589237529,1,0
1589268514,0,1
1589280023,1,0
1589320865,1,0
1589325952,1,0
1589327784,0,1
1589357540,1,0
1589365456,0,1
1589375093,1,0
1589397378,1,0
1589399294,2,0
1589405324,1,1
1589407288,2,0
1589412995,0,1
1589418733,1,0
1589422583,2,0
1589426422,1,0
1589436971,2,0
1589440820,1,0
1589444652,1,1
1589446602,1,0
1589450517,1,0
1589456431,1,0
1589460259,0,1
1589464091,1,0
1589469911,1,0
1589481389,1,0
1589485214,0,3
1589487149,1,0
1589489051,1,0
1589490976,0,1
1589492920,0,2
1589498669,1,0
1589502501,1,0
1589505391,0,1
1589509241,0,2
1589513055,0,1
1589523621,0,1
1589527465,0,1
1589531289,0,2
1589538011,0,2
1589541860,0,1
1589549603,0,1
1589555823,1,1
1589561541,1,0
1589567287,0,1
1589574020,1,2
1589575932,1,0
1589583663,0,1
1589589387,0,1
1589613375,1,0
1589621057,1,0
1589627774,1,0
1589629698,1,0
1589635500,1,0
1589641239,0,1
1589646985,0,1
1589654715,1,0
1589659110,1,0
1589661148,0,2
1589671359,1,0
1589694970,1,0
1589700980,1,1
1589708668,0,1
1589714654,1,1
1589716579,1,1
1589721374,1,1
1589731077,2,0
1589740569,0,1
1589744472,2,1
1589754017,1,0
1589757854,0,1
1589764603,1,0
1589779934,0,1
1589783788,1,0
1589787620,1,1
1589801055,0,1
1589802976,0,1
1589806885,0,1
1589808749,1,0
1589810716,1,0
1589816448,0,1
1589818350,0,1
1589826023,1,0
1589829851,0,1
1589831793,0,1
1589833690,1,0
1589837551,1,0
1589849054,1,0
1589851005,0,1
1589852902,0,1
1589862500,1,0
1589871367,0,1
1589873301,1,1
1589878086,1,0
1589883850,1,0
1589898494,0,1
1589904526,1,0
1589914098,0,1
1589917937,0,1
1589919875,0,1
1589923697,0,1
1589926574,1,0
1589938132,1,0
1589944114,1,0
1589949869,0,1
1589959537,0,1
1589966206,1,0
1589968118,1,0
1589970097,0,1
1589977808,1,0
1589984526,0,1
1589990026,0,1
1589992218,0,1
1590005159,1,0
1590011150,1,0
1590013030,0,1
1590022593,1,0
1590024505,0,1
1590030597,0,1
1590051164,0,1
1590053052,0,1
1590064576,0,1
1590066527,1,0
1590080167,1,0
1590091717,0,1
1590097453,0,1
1590108974,0,1
1590110893,1,0
1590113791,1,0
1590130092,1,0
1590153371,0,1
1590162972,1,0
1590166926,1,1
1590172638,1,0
1590174525,1,0
1590197797,0,1
1590199699,0,1
1590201619,1,0
1590213138,1,0
1590228529,0,1
1590249129,0,1
1590251047,1,0
1590252982,0,1
1590259707,0,1
1590261628,0,1
1590288762,0,1
1590300501,0,1
1590336033,0,1
1590366746,1,0
1590376783,1,0
1590454092,0,1
1590461788,0,1
1590580099,1,0
1590633883,1,0
1590641535,1,0
1590667480,0,1
1590697455,1,0
1590720435,0,1
1590728179,0,1
1590747618,1,0
1590783867,0,1
1590827055,1,0
1590834032,0,1
1590911529,0,1
1590913938,1,0
1590919707,1,0
1590959304,1,0
1591000583,0,1
1591006346,0,1
1591044983,0,1
1591079772,1,0
1591108586,1,0
1591167859,0,1
1591175544,1,0
1591195211,0,1
1591260970,0,1
1591300087,1,0
1591321466,1,0
1591325291,1,0
1591331052,1,0
1591343547,1,0
1591386983,0,1
1591408332,0,1
1591412181,0,1
1591414088,1,0
1591417291,0,1
1591429927,0,1
1591440731,1,0
1591469534,1,0
1591500276,0,1
1591527127,0,1
1591554971,0,1
1591559058,1,0
1591597689,1,0
1591646181,0,1
1591682892,0,1
1591748174,1,0
1591831689,0,1
1591896007,1,0
1591916216,1,0
1591921930,1,0
1591982422,0,1
1592001608,0,1
1592003784,1,0
1592007623,0,1
1592087293,0,1
1592129772,1,0
1592189560,4,0
1592193381,1,0
1592216435,0,1
1592224120,1,0
1592274494,0,1
1592276447,0,3
1592280286,0,1
1592309140,0,1
1592387795,1,0
1592403159,1,0
1592465067,1,0
1592475646,0,1
1592490007,0,1
1592516285,1,0
1592531551,1,0
1592535388,1,0
1592552680,0,1
1592574029,1,0
1592602087,0,1
1592617484,0,1
1592621312,0,1
1592657767,1,0
1592659774,0,1
1592671687,1,0
1592687320,1,0
1592743949,0,1
1592758345,0,1
1592764087,1,0
1592772728,0,1
1592781374,1,0
1592808493,1,0
1592850043,0,1
1592867294,0,1
1592893754,0,1
1593096496,1,0
1593149555,1,0
1593183898,0,1
1593206890,1,0
1593235692,0,1
1593249383,1,0
1593293288,0,1
1593333867,0,1
1593449312,1,0
1593535475,0,1
1593641796,1,0
1593657152,1,0
1593727961,0,1
1593741379,0,1
1593903391,1,0
1593926683,1,0
1593972729,1,0
1593990982,0,1
1594013565,1,1
1594031293,1,0
1594059882,0,1
1594099237,0,1
1594115797,0,1
1594257376,1,0
1594342576,0,1
1594419128,1,0
1594500526,1,0
1594506282,0,1
1594584968,0,1
1594604167,1,0
1594690353,0,1
1595002808,1,0
1595030172,1,0
1595089484,0,1
1595110598,1,0
1595116359,0,1
1595153768,1,0
1595197493,0,1
1595226822,1,0
1595238283,1,0
1595244014,0,1
1595312700,0,1
1595323225,0,1
1595398357,1,0
1595411769,1,0
1595439296,1,0
1595485928,0,1
1595499372,0,1
1595523423,0,1
1595556973,1,0
1595627323,1,0
1595643613,0,1
1595712732,0,1
1595779003,1,0
1595864652,0,1
1595885798,1,0
1595912898,1,0
1595958968,1,0
1595972654,0,1
1595999534,0,1
1596045165,0,1
1596051129,1,0
1596136807,1,0
1596138728,0,1
1596192726,1,0
1596223521,0,1
1596254893,1,0
1596280808,0,1
1596311766,1,0
1596342488,0,1
1596394829,0,1
1596405481,1,0
1596411156,1,0
1596426503,1,0
1596428437,1,0
1596445006,1,0
1596467123,1,0
1596492065,0,1
1596498009,0,1
1596515316,0,1
1596524928,0,1
1596530684,0,1
1596532605,1,0
1596554661,0,1
1596618496,0,1
1596741637,1,0
1596826326,0,1
1596836407,1,0
1596909862,1,0
1596923324,0,1
1596927133,1,0
1596995771,0,1
1597012088,0,1
1597036570,1,0
1597059607,1,0
1597110485,1,0
1597122968,0,1
1597128741,1,0
1597130651,1,0
1597146279,0,1
1597195479,0,1
1597214676,0,1
1597414841,1,0
1597485861,2,0
1597491618,0,1
1597501250,0,1
1597526701,1,0
1597532450,1,0
1597571066,0,1
1597573011,0,1
1597608204,1,0
1597614009,0,1
1597619771,0,1
1597650517,1,0
1597695622,0,1
1597734282,0,1
1597785372,1,0
1597805534,1,0
1597845131,1,0
1597872166,0,1
1597891477,0,1
1597930117,0,1
1597949052,1,0
1598036887,1,1
1598082252,1,0
1598124487,0,1
1598146597,1,0
1598162173,1,0
1598168917,0,1
1598174675,1,0
1598232489,0,1
1598247850,0,1
1598259368,0,1
1598281692,1,0
1598367391,0,1
1598438412,1,0
1598523631,0,1
1598553164,1,0
1598564694,1,0
1598585774,1,0
